Language_ID,Glottocode,Feature_ID,Value
Satere_Mawe,,ABOVE,ABOVE__5_14
Satere_Mawe,,ACAI_PALM,ACAI_PALM__0_1
Satere_Mawe,,AFTER,AFTER__1_9
Satere_Mawe,,AGOUTI,AGOUTI__0
Satere_Mawe,,ALL,ALL__5
Satere_Mawe,,ALONE,ALONE__6
Satere_Mawe,,ANACONDA,ANACONDA__2
Satere_Mawe,,ANATTO,ANATTO__1
Satere_Mawe,,ANT,ANT__1
Satere_Mawe,,ANTEATER,ANTEATER__3
Satere_Mawe,,ARM,ARM__1
Satere_Mawe,,ARMADILLO,ARMADILLO__0
Satere_Mawe,,ARRIVE,ARRIVE__1
Satere_Mawe,,ARROW,ARROW__2
Satere_Mawe,,ASHES,ASHES__12
Satere_Mawe,,AXE,AXE__7
Satere_Mawe,,BACK,BACK__0
Satere_Mawe,,BAD,BAD__1
Satere_Mawe,,BAMBOO,BAMBOO__0
Satere_Mawe,,BANANA,BANANA__0
Satere_Mawe,,BASKET,BASKET__2
Satere_Mawe,,BAT,BAT__3
Satere_Mawe,,BATHE,BATHE__0
Satere_Mawe,,BE_HUNGRY,BE_HUNGRY__0_7
Satere_Mawe,,BE_WRONG,BE_WRONG__1
Satere_Mawe,,BEADS,?
Satere_Mawe,,BEANS,BEANS__0
Satere_Mawe,,BEARD,?
Satere_Mawe,,BEAUTIFUL,BEAUTIFUL__0
Satere_Mawe,,BEE,BEE__2
Satere_Mawe,,BELLYBUTTON,BELLYBUTTON__0
Satere_Mawe,,BELOW,BELOW__0
Satere_Mawe,,BENCH,BENCH__3
Satere_Mawe,,BIG,BIG__0_1
Satere_Mawe,,BIRD,BIRD__1
Satere_Mawe,,BITE,BITE__0
Satere_Mawe,,BLACK,BLACK__0
Satere_Mawe,,BLOOD,BLOOD__2
Satere_Mawe,,BLOW,BLOW__0
Satere_Mawe,,BLUE,BLUE__0
Satere_Mawe,,BODY,BODY__7
Satere_Mawe,,BONE,BONE__0
Satere_Mawe,,BOW,BOW__0
Satere_Mawe,,BOY,BOY__0
Satere_Mawe,,BRANCH,BRANCH__3
Satere_Mawe,,BRAZIL_NUT,BRAZIL_NUT__2
Satere_Mawe,,BREAK,BREAK__5
Satere_Mawe,,BREAST,BREAST__0
Satere_Mawe,,BREATHE,BREATHE__0
Satere_Mawe,,BROTHER,BROTHER__0
Satere_Mawe,,BROTHER_OLDER_OF_WOMAN,?
Satere_Mawe,,BURN_INTR,BURN_INTR__3
Satere_Mawe,,BURY,BURY__0
Satere_Mawe,,BUTTERFLY,BUTTERFLY__1
Satere_Mawe,,BUTTOCKS,?
Satere_Mawe,,CALABASH,CALABASH__1
Satere_Mawe,,CANOE,CANOE__0
Satere_Mawe,,CAPUCHIN_MONKEY,CAPUCHIN_MONKEY__2
Satere_Mawe,,CAPYBARA,CAPYBARA__2_3
Satere_Mawe,,CARA_ROOT,CARA_ROOT__2
Satere_Mawe,,CASHEW,CASHEW__0
Satere_Mawe,,CENTIPEDE,CENTIPEDE__2
Satere_Mawe,,CHIEF,CHIEF__2_6_9
Satere_Mawe,,CHILD,CHILD__0
Satere_Mawe,,CICADA,CICADA__0
Satere_Mawe,,CLAW,CLAW__1
Satere_Mawe,,CLOUD,CLOUD__0_1
Satere_Mawe,,COATI,COATI__0
Satere_Mawe,,COCKROACH,COCKROACH__0
Satere_Mawe,,COCOA,COCOA__4
Satere_Mawe,,COLD,COLD__0
Satere_Mawe,,COMB,COMB__0
Satere_Mawe,,COME,COME__3
Satere_Mawe,,CORN,CORN__0
Satere_Mawe,,COTTON,COTTON__0
Satere_Mawe,,CRAB,CRAB__4
Satere_Mawe,,CRICKET_ZOOL,CRICKET_ZOOL__0_2
Satere_Mawe,,CRY,CRY__2
Satere_Mawe,,CURASSOW,CURASSOW__1
Satere_Mawe,,CUT,CUT__3
Satere_Mawe,,DANCE,DANCE__0
Satere_Mawe,,DAUGHTER_OF_MAN,DAUGHTER_OF_MAN__5
Satere_Mawe,,DAUGHTER_OF_WOMAN,DAUGHTER_OF_WOMAN__2
Satere_Mawe,,DAY,DAY__1
Satere_Mawe,,DEER,DEER__4
Satere_Mawe,,DEFECATE,DEFECATE__0
Satere_Mawe,,DIE,DIE__1
Satere_Mawe,,DIG,DIG__6
Satere_Mawe,,DIRTY,DIRTY__4
Satere_Mawe,,DO,DO__2
Satere_Mawe,,DOG,DOG__0
Satere_Mawe,,DOOR,DOOR__0_1
Satere_Mawe,,DRAW,?
Satere_Mawe,,DREAM,?
Satere_Mawe,,DRINK_V,DRINK_V__1_2_3
Satere_Mawe,,DRY,DRY__0
Satere_Mawe,,DRY_STATE,DRY_STATE__0
Satere_Mawe,,EAR,EAR__2
Satere_Mawe,,EARTH,EARTH__1
Satere_Mawe,,EAT_TR.,EAT_TR.__0_8_10
Satere_Mawe,,EGG,EGG__0
Satere_Mawe,,ELECTRIC_EEL,ELECTRIC_EEL__4
Satere_Mawe,,ENTER,ENTER__0
Satere_Mawe,,EYE,EYE__0
Satere_Mawe,,FACE,FACE__0
Satere_Mawe,,FALL,FALL__0
Satere_Mawe,,FAR,FAR__1
Satere_Mawe,,FAT,FAT__0
Satere_Mawe,,FATHER,FATHER__0
Satere_Mawe,,FEAR,FEAR__0
Satere_Mawe,,FEATHER,FEATHER__0
Satere_Mawe,,FINGER,FINGER__2
Satere_Mawe,,FIRE,FIRE__2
Satere_Mawe,,FIREFLY,FIREFLY__6
Satere_Mawe,,FIREWOOD,FIREWOOD__6
Satere_Mawe,,FISH,FISH__0
Satere_Mawe,,FISHHOOK,FISHHOOK__0
Satere_Mawe,,FLAT,FLAT__1
Satere_Mawe,,FLEA,FLEA__0
Satere_Mawe,,FLESH,FLESH__0
Satere_Mawe,,FLOAT,FLOAT__3
Satere_Mawe,,FLOUR,FLOUR__0
Satere_Mawe,,FLOWER,FLOWER__0
Satere_Mawe,,FLY,FLY__0
Satere_Mawe,,FLY_INSECT,FLY_INSECT__1
Satere_Mawe,,FOOD,FOOD__0
Satere_Mawe,,FOOT,FOOT__0
Satere_Mawe,,FORGET,FORGET__0_6
Satere_Mawe,,FOUR,FOUR__2
Satere_Mawe,,FROG,FROG__1
Satere_Mawe,,FRUIT,FRUIT__0
Satere_Mawe,,FULL,FULL__1
Satere_Mawe,,GATHER,GATHER__2
Satere_Mawe,,GENIPA,GENIPA__2
Satere_Mawe,,GETLOST,GETLOST__3
Satere_Mawe,,GIRL,GIRL__1
Satere_Mawe,,GIVE,GIVE__2
Satere_Mawe,,GNAT,GNAT__1
Satere_Mawe,,GO,GO__3
Satere_Mawe,,GO_UP,GO_UP__1
Satere_Mawe,,GOOD,GOOD__3
Satere_Mawe,,GRANDFATHER,GRANDFATHER__3
Satere_Mawe,,GRASS,GRASS__9
Satere_Mawe,,GREEN,GREEN__2
Satere_Mawe,,GREEN_IGUANA,GREEN_IGUANA__0
Satere_Mawe,,GROW,GROW__2
Satere_Mawe,,GUAN,GUAN__1
Satere_Mawe,,HAIR,HAIR__0
Satere_Mawe,,HAMMOCK,HAMMOCK__2
Satere_Mawe,,HAND,HAND__0
Satere_Mawe,,HAPPY,HAPPY__1
Satere_Mawe,,HAWK,HAWK__5
Satere_Mawe,,HEAD,HEAD__0_1_3
Satere_Mawe,,HEAL,?
Satere_Mawe,,HEAR,HEAR__0_1
Satere_Mawe,,HEART,HEART__0
Satere_Mawe,,HEAVY,HEAVY__0
Satere_Mawe,,HEDGEHOG,HEDGEHOG__0
Satere_Mawe,,HELP,HELP__1
Satere_Mawe,,HEN,HEN__1
Satere_Mawe,,HERE,HERE__3
Satere_Mawe,,HIDE,HIDE__0
Satere_Mawe,,HIT,HIT__1
Satere_Mawe,,HOLE,?
Satere_Mawe,,HONEY,HONEY__0_4
Satere_Mawe,,HORN,HORN__0_3
Satere_Mawe,,HOT,HOT__0
Satere_Mawe,,HOUSE,HOUSE__3
Satere_Mawe,,HOWLER_MONKEY,HOWLER_MONKEY__0
Satere_Mawe,,HUMMINGBIRD,HUMMINGBIRD__6
Satere_Mawe,,HUNT,HUNT__0
Satere_Mawe,,HUSBAND,HUSBAND__0
Satere_Mawe,,I,I__1
Satere_Mawe,,INGA,INGA__0_2
Satere_Mawe,,INSIDE,INSIDE__3
Satere_Mawe,,JACARE,JACARE__0
Satere_Mawe,,JAGUAR,JAGUAR__0
Satere_Mawe,,JUMP,JUMP__0
Satere_Mawe,,KILL,KILL__0
Satere_Mawe,,KING_FISHER,KING_FISHER__1
Satere_Mawe,,KNEE,KNEE__6
Satere_Mawe,,KNIFE,KNIFE__0
Satere_Mawe,,KNOW,KNOW__0
Satere_Mawe,,LAKE,LAKE__0
Satere_Mawe,,LARGE_ANT,LARGE_ANT__1
Satere_Mawe,,LARGE_MANDI_FISH,LARGE_MANDI_FISH__1
Satere_Mawe,,LAUGH,LAUGH__1
Satere_Mawe,,LEAF,LEAF__2
Satere_Mawe,,LEARN,LEARN__0_1_2
Satere_Mawe,,LEAVE,LEAVE__0
Satere_Mawe,,LEG,LEG__1
Satere_Mawe,,LIE_DOWN,LIE_DOWN__0
Satere_Mawe,,LIVER,LIVER__0
